iter	Passed	Remaining
0	22	22522
1	72	36163
2	112	37422
3	172	42884
4	224	44718
5	276	45845
6	327	46395
7	350	43509
8	380	41871
9	403	39980
10	430	38745
11	471	38802
12	502	38134
13	550	38745
14	577	37954
15	606	37273
16	656	37946
17	694	37907
18	745	38492
19	795	38979
20	841	39236
21	893	39733
22	947	40262
23	982	39972
24	1015	39601
25	1044	39125
26	1091	39344
27	1146	39813
28	1200	40196
29	1253	40529
30	1316	41150
31	1372	41530
32	1425	41780
33	1485	42202
34	1543	42556
35	1568	42000
36	1629	42411
37	1690	42798
38	1750	43126
39	1815	43581
40	1871	43777
41	1946	44395
42	2020	44972
43	2088	45371
44	2122	45053
45	2193	45501
46	2251	45650
47	2307	45762
48	2353	45675
49	2402	45641
50	2459	45761
51	2509	45758
52	2563	45801
53	2622	45950
54	2678	46024
55	2745	46282
56	2794	46239
57	2861	46472
58	2920	46577
59	2981	46704
60	3047	46914
61	3115	47133
62	3172	47189
63	3233	47288
64	3295	47404
65	3368	47674
66	3428	47742
67	3489	47820
68	3555	47979
69	3618	48071
70	3675	48097
71	3738	48179
72	3799	48246
73	3864	48363
74	3943	48636
75	4000	48639
76	4055	48612
77	4112	48609
78	4163	48540
79	4225	48595
80	4301	48805
81	4366	48885
82	4441	49073
83	4492	48988
84	4548	48961
85	4625	49154
86	4681	49123
87	4733	49056
88	4788	49013
89	4842	48962
90	4895	48898
91	4957	48929
92	5032	49085
93	5096	49121
94	5154	49106
95	5237	49315
96	5293	49282
97	5356	49302
98	5419	49321
99	5491	49424
100	5569	49576
101	5643	49687
102	5722	49832
103	5781	49808
104	5852	49883
105	5925	49978
106	6005	50122
107	6073	50160
108	6144	50223
109	6206	50213
110	6266	50191
111	6349	50339
112	6433	50501
113	6518	50661
114	6598	50783
115	6676	50877
116	6752	50964
117	6811	50913
118	6900	51083
119	6974	51147
120	7056	51261
121	7129	51310
122	7198	51324
123	7283	51455
124	7354	51482
125	7422	51484
126	7496	51528
127	7563	51525
128	7647	51638
129	7717	51647
130	7790	51680
131	7866	51730
132	7947	51808
133	8016	51805
134	8081	51780
135	8153	51797
136	8224	51806
137	8299	51842
138	8377	51894
139	8454	51937
140	8538	52018
141	8605	51998
142	8672	51976
143	8741	51965
144	8816	51985
145	8881	51950
146	8961	52003
147	9035	52017
148	9111	52039
149	9194	52101
150	9261	52070
151	9349	52159
152	9443	52277
153	9521	52305
154	9598	52326
155	9666	52296
156	9735	52273
157	9819	52329
158	9902	52378
159	9972	52356
160	10045	52347
161	10125	52377
162	10197	52364
163	10277	52388
164	10359	52424
165	10438	52443
166	10512	52435
167	10592	52457
168	10679	52510
169	10751	52492
170	10824	52476
171	10891	52431
172	10962	52403
173	11017	52299
174	11100	52329
175	11160	52253
176	11231	52224
177	11306	52215
178	11388	52234
179	11463	52224
180	11528	52166
181	11597	52127
182	11679	52141
183	11761	52158
184	11825	52095
185	11900	52079
186	11974	52061
187	12039	51999
188	12104	51938
189	12173	51895
190	12236	51827
191	12305	51786
192	12378	51759
193	12454	51743
194	12524	51703
195	12610	51727
196	12678	51680
197	12753	51659
198	12819	51599
199	12886	51547
200	12955	51499
201	13027	51465
202	13098	51424
203	13179	51427
204	13252	51395
205	13320	51342
206	13404	51353
207	13474	51305
208	13542	51253
209	13617	51228
210	13687	51181
211	13764	51161
212	13839	51133
213	13907	51080
214	13972	51017
215	14051	51003
216	14118	50944
217	14186	50887
218	14257	50846
219	14330	50807
220	14403	50769
221	14469	50707
222	14533	50637
223	14603	50590
