iter	Logloss
0	0.6105835518
1	0.5436706868
2	0.4874938589
3	0.4413258058
4	0.4030362794
5	0.3716643241
6	0.3466507567
7	0.3259906983
8	0.3056074119
9	0.2875824952
10	0.2728543668
11	0.2596241945
12	0.2498542168
13	0.2408901352
14	0.2324528394
15	0.2284689967
16	0.2209424637
17	0.2145854899
18	0.2086190081
19	0.2037180619
20	0.1989498688
21	0.19525535
22	0.1919832372
23	0.1890390748
24	0.1867859644
25	0.1846891768
26	0.1830301556
27	0.1813621943
28	0.1798285125
29	0.178813293
30	0.1778563877
31	0.1769233534
32	0.176224028
33	0.1753521293
34	0.17454386
35	0.1738114703
36	0.1728435838
37	0.1721432597
38	0.1715426902
39	0.1706115242
40	0.1697848807
41	0.1689632294
42	0.168303286
43	0.1678778413
44	0.1672016092
45	0.1664792149
46	0.166034954
47	0.1656866164
48	0.1651300005
49	0.1647581946
50	0.1643966492
51	0.1640701237
52	0.1638837129
53	0.1635302758
54	0.163289807
55	0.1629339345
56	0.1625775257
57	0.1624089349
58	0.1621090064
59	0.1618857427
60	0.1615227627
61	0.1612958464
62	0.16083758
63	0.1607144175
64	0.1605220805
65	0.160312454
66	0.1601640116
67	0.1600602559
68	0.1598704153
69	0.1596832343
70	0.1595503514
71	0.1593936482
72	0.1592459795
73	0.1591392395
74	0.1590329731
75	0.1588406891
76	0.1586933346
77	0.1584884713
78	0.1583455359
79	0.1582020698
80	0.157958318
81	0.1578633277
82	0.1577756541
83	0.1576661128
84	0.1574147777
85	0.1573009581
86	0.1569443828
87	0.1567002514
88	0.1566447719
89	0.1564850294
90	0.1564408102
91	0.1563184859
92	0.1559957676
93	0.1557870266
94	0.15564838
95	0.1555625129
96	0.1554937741
97	0.1553070052
98	0.1552208976
99	0.155082077
100	0.1550155076
101	0.1549384116
102	0.154875915
103	0.1547981506
104	0.1546135019
105	0.1545401464
106	0.1543816755
107	0.1542887797
108	0.1541422949
109	0.1540029593
110	0.1538981095
111	0.1536268632
112	0.1535638731
113	0.1533758352
114	0.1533635765
115	0.1533587209
116	0.1532660901
117	0.1531614818
118	0.1530501686
119	0.1530023943
120	0.1529647289
121	0.1529425865
122	0.1528621428
123	0.15280494
124	0.1527068948
125	0.1526730474
126	0.1526267135
127	0.1525659564
128	0.1525269246
129	0.152392473
130	0.1523056603
131	0.1522139667
132	0.1520890706
133	0.1520050101
134	0.1519431624
135	0.1518068108
136	0.1517061522
137	0.1516061991
138	0.1515772847
139	0.1514980356
140	0.1514536848
141	0.1514081406
142	0.1512579099
143	0.1511765996
144	0.1510695662
145	0.1509123436
146	0.1507313437
147	0.1506713116
148	0.1505448653
149	0.1504316457
150	0.1502755658
151	0.1502164417
152	0.1500731558
153	0.1500282491
154	0.149973068
155	0.1498602251
156	0.1497742302
157	0.1496974722
158	0.1495733309
159	0.1494686138
160	0.1493583179
161	0.1493369935
162	0.1492889293
163	0.149177013
164	0.1491518235
165	0.1491220848
166	0.1490235078
167	0.1489447583
168	0.1488029573
169	0.1487942463
170	0.1487335389
171	0.148606479
172	0.1485780207
173	0.1484963467
174	0.1484358788
175	0.1483218176
176	0.1482111444
177	0.148098207
178	0.1480394054
179	0.1480017953
180	0.1479128331
181	0.1478924802
182	0.147820342
183	0.1477774276
184	0.1476949358
185	0.147641205
186	0.1475866427
187	0.1475203028
188	0.1474411698
189	0.1474211222
190	0.1473975202
191	0.1473102629
192	0.14721841
