iter	Passed	Remaining
0	73	73319
1	100	50076
2	161	53510
3	200	49857
4	247	49318
5	291	48343
6	323	45945
7	348	43201
8	379	41796
9	429	42471
10	477	42945
11	521	42971
12	570	43333
13	625	44054
14	681	44744
15	697	42917
16	755	43666
17	812	44350
18	883	45637
19	952	46691
20	1009	47070
21	1056	46966
22	1100	46738
23	1155	47006
24	1200	46805
25	1253	46943
26	1309	47191
27	1359	47203
28	1414	47374
29	1463	47317
30	1508	47139
31	1552	46960
32	1584	46437
33	1633	46397
34	1679	46317
35	1730	46326
36	1783	46408
37	1838	46550
38	1885	46464
39	1958	46994
40	2024	47363
41	2096	47820
42	2146	47769
43	2195	47702
44	2256	47893
45	2323	48179
46	2381	48280
47	2449	48573
48	2521	48939
49	2577	48968
50	2625	48845
51	2697	49173
52	2749	49128
53	2804	49134
54	2862	49187
55	2918	49198
56	2991	49483
57	3050	49544
58	3094	49357
59	3152	49387
60	3197	49221
61	3259	49307
62	3339	49674
63	3410	49881
64	3462	49804
65	3510	49674
66	3558	49551
67	3613	49527
68	3662	49420
69	3727	49516
70	3791	49608
71	3851	49643
72	3923	49821
73	3983	49848
74	4072	50229
75	4137	50298
76	4189	50219
77	4255	50297
78	4311	50265
79	4373	50299
80	4454	50536
81	4515	50550
82	4579	50593
83	4646	50670
84	4710	50702
85	4766	50658
86	4842	50819
87	4909	50880
88	4969	50865
89	5036	50925
90	5089	50840
91	5146	50794
92	5227	50986
93	5288	50971
94	5363	51095
95	5428	51120
96	5499	51200
97	5575	51314
98	5631	51252
99	5700	51306
100	5758	51258
101	5829	51319
102	5902	51402
103	5975	51480
104	6058	51638
105	6127	51676
106	6193	51691
107	6257	51682
108	6314	51618
109	6385	51665
110	6445	51623
111	6518	51683
112	6587	51705
113	6655	51727
114	6714	51670
115	6740	51366
116	6808	51382
117	6884	51456
118	6946	51424
119	7018	51465
120	7090	51509
121	7174	51635
122	7237	51605
123	7306	51619
124	7371	51600
125	7427	51523
126	7487	51472
127	7549	51431
128	7617	51432
129	7686	51437
130	7749	51404
131	7817	51403
132	7883	51388
133	7949	51375
134	8014	51354
135	8076	51310
136	8147	51322
137	8199	51216
138	8266	51205
139	8320	51112
140	8396	51151
141	8464	51142
142	8538	51171
143	8608	51170
144	8677	51167
145	8750	51185
146	8808	51112
147	8873	51080
148	8934	51027
149	9003	51018
150	9077	51040
151	9134	50961
152	9209	50983
153	9273	50945
154	9335	50894
155	9399	50852
156	9464	50821
157	9515	50709
158	9566	50602
159	9626	50539
160	9690	50499
161	9754	50456
162	9813	50391
163	9889	50414
164	9952	50365
165	10010	50294
166	10085	50306
167	10147	50253
168	10220	50256
169	10288	50230
170	10336	50108
171	10404	50088
172	10471	50058
173	10542	50044
174	10594	49944
175	10655	49887
176	10728	49882
177	10804	49895
178	10867	49843
179	10937	49828
180	11005	49798
181	11071	49759
182	11131	49695
183	11211	49719
184	11281	49699
185	11348	49666
186	11413	49619
187	11470	49544
188	11537	49507
189	11595	49434
190	11657	49377
191	11726	49350
192	11785	49280
193	11836	49175
194	11891	49091
195	11957	49048
196	12025	49015
197	12109	49047
198	12183	49038
199	12240	48960
200	12292	48863
201	12358	48821
202	12424	48778
203	12494	48752
204	12561	48712
205	12626	48666
206	12705	48671
207	12770	48624
208	12843	48609
209	12903	48540
210	12965	48483
211	13031	48439
212	13095	48387
213	13161	48339
214	13216	48254
215	13274	48183
216	13337	48126
217	13402	48077
218	13461	48007
219	13533	47982
220	13587	47895
221	13647	47827
222	13699	47734
223	13775	47721
224	13836	47658
225	13897	47597
226	13968	47567
227	14034	47520
228	14091	47444
229	14153	47381
230	14218	47332
231	14281	47276
232	14340	47206
233	14401	47143
234	14469	47102
235	14529	47035
236	14598	46997
237	14673	46978
238	14736	46921
239	14798	46861
240	14858	46795
241	14919	46731
242	14981	46671
243	15036	46588
244	15095	46519
245	15175	46512
246	15235	46447
247	15292	46371
248	15354	46310
249	15411	46233
250	15481	46198
251	15544	46138
252	15604	46073
253	15665	46009
254	15729	45955
255	15798	45915
256	15864	45864
257	15926	45802
258	15987	45739
259	16054	45694
260	16120	45644
261	16195	45619
262	16261	45570
263	16332	45533
264	16413	45525
265	16469	45444
266	16528	45376
267	16591	45318
268	16653	45256
269	16724	45216
270	16789	45164
271	16848	45094
272	16908	45026
273	16972	44972
274	17030	44897
275	17085	44817
276	17155	44778
277	17219	44720
278	17276	44646
279	17337	44581
280	17400	44522
281	17454	44441
282	17507	44356
283	17572	44301
284	17638	44251
285	17699	44187
286	17766	44137
287	17827	44074
288	17888	44009
289	17950	43948
290	18005	43867
291	18069	43811
292	18141	43773
293	18210	43730
294	18270	43662
295	18329	43595
296	18397	43546
297	18456	43478
298	18521	43422
299	18601	43402
300	18665	43345
301	18724	43277
302	18783	43208
303	18855	43168
304	18918	43108
305	18981	43050
306	19052	43007
307	19125	42969
308	19189	42912
309	19245	42837
310	19313	42786
311	19368	42709
312	19430	42647
313	19494	42590
314	19549	42512
315	19610	42448
316	19675	42393
317	19737	42329
318	19796	42262
319	19862	42208
320	19928	42154
321	19995	42101
322	20058	42041
323	20129	41997
324	20200	41955
325	20253	41874
326	20316	41814
327	20372	41737
328	20433	41674
329	20500	41622
330	20562	41559
331	20620	41489
332	20688	41438
333	20754	41383
334	20815	41319
335	20876	41256
336	20932	41182
337	20995	41121
338	21053	41051
339	21120	40999
340	21181	40933
341	21250	40884
342	21312	40823
343	21378	40767
344	21436	40697
345	21493	40626
346	21550	40555
347	21599	40467
348	21659	40402
349	21722	40341
350	21788	40287
351	21846	40216
352	21918	40173
353	21996	40141
354	22064	40089
355	22107	39992
356	22171	39933
357	22249	39899
358	22307	39829
359	22364	39759
360	22435	39713
361	22500	39655
362	22564	39596
363	22629	39539
364	22693	39480
365	22754	39415
366	22810	39344
367	22871	39279
368	22934	39218
369	23002	39166
370	23063	39101
371	23123	39036
372	23194	38988
373	23258	38930
374	23315	38858
375	23375	38793
376	23427	38713
377	23487	38649
378	23539	38569
379	23603	38510
380	23666	38450
381	23733	38396
382	23802	38345
383	23866	38286
384	23930	38226
385	23990	38161
386	24058	38108
387	24133	38066
388	24198	38008
389	24282	37979
390	24353	37932
391	24409	37859
392	24474	37801
393	24545	37751
394	24611	37696
395	24675	37636
396	24740	37577
397	24804	37518
398	24871	37463
399	24936	37404
400	25005	37352
401	25074	37299
402	25135	37234
403	25196	37171
404	25266	37120
405	25336	37068
406	25397	37003
407	25460	36942
408	25519	36874
409	25567	36792
410	25623	36720
411	25694	36670
412	25756	36607
413	25815	36540
414	25871	36468
415	25946	36425
416	26016	36373
417	26079	36311
418	26141	36248
419	26213	36200
420	26277	36139
421	26336	36072
422	26386	35992
423	26444	35925
424	26507	35862
425	26563	35792
426	26629	35734
427	26691	35672
428	26767	35627
429	26837	35574
430	26893	35503
431	26952	35436
432	27009	35368
433	27081	35317
434	27142	35254
435	27206	35193
436	27281	35147
437	27352	35095
438	27414	35033
439	27487	34983
440	27539	34908
441	27601	34845
442	27658	34775
443	27718	34710
444	27791	34660
445	27858	34604
446	27924	34546
447	27979	34475
448	28040	34411
449	28096	34340
450	28156	34274
451	28227	34222
452	28288	34158
453	28353	34098
454	28418	34039
455	28486	33983
456	28543	33914
457	28597	33842
458	28648	33767
459	28708	33701
460	28769	33637
461	28821	33562
462	28880	33496
463	28951	33444
464	29020	33389
465	29091	33336
466	29159	33280
467	29226	33223
468	29287	33158
469	29345	33091
470	29404	33025
471	29467	32963
472	29531	32902
473	29599	32847
474	29676	32800
475	29738	32737
476	29798	32672
477	29856	32604
478	29912	32535
479	29990	32489
480	30052	32426
481	30118	32368
482	30182	32307
483	30251	32251
484	30334	32210
485	30395	32147
486	30455	32081
487	30518	32019
488	30575	31950
489	30653	31904
490	30711	31837
491	30770	31771
492	30832	31707
493	30893	31644
494	30957	31582
495	31019	31520
496	31077	31452
497	31143	31394
498	31206	31331
499	31269	31269
500	31323	31198
501	31384	31134
502	31449	31074
503	31510	31010
504	31565	30940
505	31633	30883
506	31702	30827
507	31773	30772
508	31841	30715
509	31903	30652
510	31960	30584
511	32017	30517
512	32078	30452
513	32137	30386
514	32191	30315
515	32257	30256
516	32320	30194
517	32389	30138
518	32455	30079
519	32522	30020
520	32587	29960
521	32646	29894
522	32705	29829
523	32775	29773
524	32839	29712
525	32904	29651
526	32963	29586
527	33022	29519
528	33069	29443
529	33131	29380
530	33191	29316
531	33253	29252
532	33326	29199
533	33392	29140
534	33444	29068
535	33521	29018
536	33585	28957
537	33651	28898
538	33715	28836
539	33776	28772
540	33841	28712
541	33907	28652
542	33970	28590
543	34035	28529
544	34110	28477
545	34178	28419
546	34248	28363
547	34313	28302
548	34379	28242
549	34439	28177
550	34503	28116
551	34561	28050
552	34620	27984
553	34697	27933
554	34760	27870
555	34840	27822
556	34908	27763
557	34972	27702
558	35031	27636
559	35098	27577
560	35164	27517
561	35228	27455
562	35287	27389
563	35352	27329
564	35432	27279
565	35497	27218
566	35567	27161
567	35638	27105
568	35707	27047
569	35778	26991
570	35832	26921
571	35895	26858
572	35962	26798
573	36026	26737
574	36099	26682
575	36167	26623
576	36243	26570
577	36311	26511
578	36372	26447
579	36438	26386
580	36497	26320
581	36567	26263
582	36624	26196
583	36706	26146
584	36772	26086
585	36834	26022
586	36893	25957
587	36958	25895
588	37017	25830
589	37092	25776
590	37152	25711
591	37223	25654
592	37288	25592
593	37346	25526
594	37424	25473
595	37505	25423
596	37571	25362
597	37623	25291
598	37680	25225
599	37748	25165
600	37815	25105
601	37873	25039
602	37929	24971
603	37994	24910
604	38059	24848
605	38117	24782
606	38180	24720
607	38237	24653
608	38299	24589
609	38361	24526
610	38417	24459
611	38480	24396
612	38547	24336
613	38606	24270
614	38676	24211
615	38739	24149
616	38804	24087
617	38858	24019
618	38916	23953
619	38975	23888
